index,vocab
1430,NTHL1
1431,PTPN4
1432,ANTXR1
1433,EEF1A1P24
1434,GPATCH8
1435,C2ORF88
1436,SDC4P
1437,STX18
1438,CASKIN2
1439,NAGLU
1440,LMCD1
1441,CLEC6A
1442,CACTIN
1443,GOLGA8H
1444,SMPD3
1445,S100A4
1446,MIR1204
1447,UBTD2
1448,ZNF890P
1449,H3F3AP4
1450,HCG27
1451,MARCH10
1452,GSC
1453,FRMD3
1454,MEOX2
1455,CYP21A1
1456,TUBA8
1457,ELOVL1
1458,ATXN7L1
1459,OSCP1
1460,MRPS34
1461,RPL26P6
1462,RAD54L2
1463,RAD51AP1
1464,CTL2
1465,RPS26P31
1466,CCDC101
1467,NSUN2
1468,MPZ
1469,C11ORF88
1470,SNX13
1471,FCRLA
1472,C1ORF186
1473,AP5S1
1474,HPD
1475,CPN1
1476,MIR3191
1477,ADD3
1478,NDUFS4
1479,DPY30
1480,MBLAC2
1481,UBC
1482,SORBS2
1483,UBIAD1
1484,UHRF1BP1
1485,SCLT1
1486,CCN5
1487,CDKL3
1488,RGSL1
1489,STAP1
1490,KRI1
1491,PCDHGB1
1492,NOP16
1493,MTRNR2L1
1494,PADI2
1495,CEBPA
1496,ZNF490
1497,RPS16
1498,CREB3L4
1499,CRIPAK
1500,FAM29A
1501,MIR2682
1502,MIR1180
1503,CTIF
1504,COL22A1
1505,CLCN1
1506,LINC00327
1507,LINC00029
1508,RPSAP47
1509,PTPN2
1510,LRP1B
1511,DEFB106A
1512,ASB8
1513,ACP5
1514,TEC
1515,ZNF831
1516,RPS15AP1
1517,OR5AN1
1518,MIR2909
1519,HIST1H3D
1520,CAV1
1521,KRT18P21
1522,MMP3
1523,DHRS2
1524,KIF1A
1525,SLC26A10
1526,CELSR1
1527,REL
1528,SPATA32
1529,PPEF1
1530,MIR5001
1531,SLC26A4-AS1
1532,DEFB4B
1533,ACOT13
1534,RSPO3
1535,RBMY3AP
1536,MARVELD2
1537,PLAC8L1
1538,EGR2
1539,KCNRG
1540,POU2F2
1541,ATP5F1C
1542,ACP6
1543,PIGX
1544,FADS2
1545,PAXBP1
1546,SPDYA
1547,OR52N5
1548,ALDH2
1549,TRIP12
1550,PPP1R1A
1551,PRLH
1552,STXBP6
1553,OR56A1
1554,TBL2
1555,ZNF761
1556,ANKRD20A3
1557,DPCD
1558,SKP1
1559,LRRK2
1560,IFNAR1
1561,TMEM145
1562,SLC15A5
1563,OR2M5
1564,KIF16B
1565,PLAUR
1566,PRB3
1567,MIR181A1
1568,ZRANB2
1569,BMP8B
1570,PRRC2A
1571,KLRAP1
1572,PHACTR1
1573,LACTB
1574,GEMIN4
1575,AKAP12
1576,DNAJC3
1577,MIR4465
1578,DOC2B
1579,RAB3A
1580,CEP95
1581,CAP1
1582,SEPHS2
1583,NETO2
1584,PMS2P2
1585,POLR3H
1586,DPP4
1587,CYP51A1P2
1588,TSPAN13
1589,FLT4
1590,GBP1P1
1591,C1ORF100
1592,EBI2
1593,SPIN3
1594,RMND5A
1595,TNF
1596,NIFK
1597,OR4K13
1598,ANKS6
1599,PSCA
1600,ISOC1
1601,IGFBP7
1602,WAPL
1603,PLPPR3
1604,MSMO1
1605,BRAP
1606,GRK5
1607,MIR4291
1608,SAMD5
1609,STL
1610,SH2B2
1611,SMPD1
1612,ZNF829
1613,EDRF1
1614,LINC02140
1615,LASP1
1616,SULT1C2P1
1617,GLIS3
1618,AP3M1
1619,THG1L
1620,MICU2
1621,TMEM167
1622,TXLNB
1623,TGFBI
1624,MIR6722
1625,WEE2-AS1
1626,SH2D4A
1627,HPCAL1
